Strain,Host,Water,Country,ACCNo,Year
AU-8-95,Rainbow trout,Fresh water,AU,AY546570.1,1995
CH-FI262BFH,Rainbow trout,Fresh water,CH,AY546571.1,1999
DK-1p40,Rockling,Sea water,DK,AY546575.1,1996
DK-1p53,Atlantic Herring,Sea water,DK,AY546577.1,1996
DK-1p55,Sprat,Sea water,DK,AY546578.1,1996
DK-1p8,Atlantic Herring,Sea water,DK,AY546573.1,1996
DK-1p86,Sprat,Sea water,DK,AY546579.1,1996
DK-200027-3,Rainbow trout,Fresh water,DK,AY546609.1,2000
DK-200079-1,Rainbow trout,Fresh water,DK,AY546613.1,2000
DK-200098,Rainbow trout,Fresh water,DK,AY546605.1,2000
DK-2835,Rainbow trout,Fresh water,DK,AY546585.1,1982
DK-3592B,Rainbow trout,Fresh water,DK,X66134,1986
DK-3946,Rainbow trout,Fresh water,DK,AY546586.1,1987
DK-3971,Rainbow trout,Fresh water,DK,AY546587.1,1987
DK-4p101,Whiting,Sea water,DK,AY546581.1,1997
DK-4p168,Atlantic Herring,Sea water,DK,AY546582.1,1997
DK-4p37,Blue whiting,Sea water,DK,FJ460590.1,1997
DK-5123,Rainbow trout,Fresh water,DK,AY546588.1,1988
DK-5131,Rainbow trout,Fresh water,DK,AF345858.1,1988
DK-5151,Rainbow trout,Fresh water,DK,AF345859.1,1988
DK-5741,Rainbow trout,Fresh water,DK,AY546591.1,1990
DK-5e59,Dab,Sea water,DK,AY546583.1,1998
DK-6045,Rainbow trout,Fresh water,DK,AY546592.1,1991
DK-6137,Rainbow trout,Fresh water,DK,AY546593.1,1991
DK-6p403,Atlantic Herring,Sea water,DK,AY546584.1,1999
DK-7380,Rainbow trout,Fresh water,DK,AY546594.1,1994
DK-7974,Rainbow trout,Fresh water,DK,AY546595.1,1994
DK-9595168,Rainbow trout,Fresh water,DK,AY546596.1,1995
DK-9695377,Rainbow trout,Fresh water,DK,AY546597.1,1996
DK-9795568,Rainbow trout,Fresh water,DK,AY546598.1,1997
DK-9895024,Rainbow trout,Fresh water,DK,AY546599.1,1998
DK-9895093,Rainbow trout,Fresh water,DK,AY546600.1,1998
DK-9895174,Rainbow trout,Fresh water,DK,AY546603.1,1998
DK-9995007,Rainbow trout,Fresh water,DK,AY546601.1,1999
DK-9995144,Rainbow trout,Fresh water,DK,AY546602.1,1999
DK-F1,Rainbow trout,Fresh water,DK,AF345857.1,1962
DK-Hededam,Rainbow trout,Fresh water,DK,U28798.1,1970
DK-M.rhabdo,Cod,Sea water,UK,Z93414,1979
FI-ka422,Rainbow trout,Brackish water,FI,AY546615.1,2000
FI-ka66,Rainbow trout,Brackish water,FI,AY546614.1,2000
Fil3,Rainbow trout,Fresh water,DE,Y18263.1,1983
FR-0284,Rainbow trout,Fresh water,FR,U28800,1984
FR-0771,Rainbow trout,Fresh water,FR,AY546616.1,1971
FR-1458,Rainbow trout,Fresh water,FR,AF143863,1990
FR-2375,Rainbow trout,Fresh water,FR,AY546617.1,1975
FR-L59X,Eel,Sea water,FR,AY546618.1,1987
GE-1.2,Rainbow trout,Fresh water,GE,AY546619.1,1981
IR-F13.02.97,Turbot,Sea water,IR,AY546620.1,1997
KRRV9601,Japanese flounder,Sea water,JP,AB672614.1,1996
NO-A16368G,Rainbow trout,Unknown,NO,AY546621.1,1968
SE-SVA-1033,Rainbow trout,Sea water,SE,FJ460591.1,2000
SE-SVA14,Rainbow trout,Sea water,SE,AY546622.1,1998
SE-SVA31,Atlantic Herring,Sea water,SE,AY546626.1,2000
UK-860-94,Turbot,Sea water,UK,AY546628.1,1994
UK-9643,Atlantic Herring,Sea water,UK,AF143862,1996
UK-H17-2-95,Haddock,Sea water,UK,AY546629.1,1995
UK-H17-5-93,Cod,Sea water,UK,AY546630.1,1993
UK-MLA98-6HE1,Herring,Sea water,UK,AY546631.1,1998
UK-MLA98-6PT11,Norway prout,Sea water,UK,AY546632.1,1998
US-Makah,Coho salmon,Fresh water,USA,U28747.1,1988
US-Goby1-5,Round goby,Unknown,USA,AB672615.1,2006